id,title,release_date,overview,rating,poster_url,genres,cast,directors
1178556,I'm Not a Robot,2025-03-20,A music producer spirals into an existential crisis after repeatedly failing a CAPTCHA test-leading her to question whether she might actually be a robot.,8.0,https://image.tmdb.org/t/p/w500/tlkpqKiJ2IRV4d0pjhso29AzESj.jpg,"Comedy, Drama, Science Fiction, Thriller","Ellen Parren, Henry van Loon, Thekla Reuten, Juliette van Ardenne, Asma El Mouden",Victoria Warmerdam
1075456,O'Dessa,2025-03-20,"A farm girl is on an epic quest to recover a cherished family heirloom. Her journey leads her to a strange and dangerous city where she meets her one true love – but in order to save his soul, she must put the power of destiny and song to the ultimate test.",6.4,https://image.tmdb.org/t/p/w500/jI6KVCPJhOMSuXp9Fb0NZlfHeLV.jpg,"Music, Drama, Science Fiction","Sadie Sink, Kelvin Harrison, Jr., Murray Bartlett, Regina Hall, Pokey LaFarge",Geremy Jasper
1353117,Rebirth: Home Sweet Home,2025-03-20,"Jake is a cop thrust into an alternate realm called ‘The Hindrance’ during a deadly mall shooting. With the help of a mysterious Novice Monk, Jake must race the clock to save his wife, Prang, and stop an evil occultist, Mek, from opening the Gates of Hell.",10.0,https://image.tmdb.org/t/p/w500/hqRX1XJCeE4dz4kaTQVvVJoSwPa.jpg,"Horror, Fantasy, Thriller, Action","Michele Morrone, William Moseley, Urassaya Sperbund, Alexander, Ting Sue","Alexander Kiesl, Steffen Hacker"
777443,The Electric State,2025-03-07,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",6.669,https://image.tmdb.org/t/p/w500/jRdxyW5ZmhD3ycStlb7gwOewTuE.jpg,"Science Fiction, Adventure, Drama, Action","Millie Bobby Brown, Chris Pratt, Ke Huy Quan, Jason Alexander, Woody Norman","Joe Russo, Anthony Russo"
1446066,The Beloved Remains,2025-03-20,"A short film, set two years after the main event of the horror novel of the same name, written by Sepia Gore.",0.0,https://image.tmdb.org/t/p/w500/qh03aE0JsSdlO7lnJvpv19otE8v.jpg,"Horror, Thriller","Sepia Gore, Kunakorn wattanalakhi, Pornlapat Nararatwanchai, Tanatake Intharat",Sepia Gore
1445179,Vinilo,2025-03-20,"Amid her struggle with a devastating illness, a courageous mother with deep secrets and experience becomes a beacon of hope for her son. Through a delicate and emotional narrative, music becomes the guide to find the light in the darkness.",0.0,https://image.tmdb.org/t/p/w500/jB6rBtOvMMrhNvBJsp4l1YWfjrh.jpg,Unknown,"Mónica Bardem, Miguel Ángel Olivares, José Palacios","Miguel Ángel Olivares, Fernando Osuna Mascaró"
1442316,Nobody's Angel,2025-03-20,"The five women in the Danish band Miss B. Haven rocked the 1980s at a time when men still had a monopoly on rock, but where a new movement was taking shape.",0.0,https://image.tmdb.org/t/p/w500None,"Documentary, Music",Unknown,Torben Skjødt Jensen
1442689,"Tempo, O Curta.",2025-03-20,,0.0,https://image.tmdb.org/t/p/w500/pU65XazGQySLnUMtYDBlLgmoIiy.jpg,"Drama, Mystery",Thayane Coelho,Thayane Coelho
1442438,SEVENTEEN in CARAT LAND,2025-03-20,"Seventeen's 9th fan meeting took place at INCHEON MUNHAK MAIN STADIUM in Incheon, South Korea from March 20-21, 2025, both in-person and online.",0.0,https://image.tmdb.org/t/p/w500/g8sem3NfBaVrwXEZ7axcvoAZKOm.jpg,Music,"S.Coups, Jeonghan, Joshua, Jun, Hoshi",Unknown
1442322,Lost for Words,2025-03-20,The year's most beautiful natural experience on the big screen is also a poetic film about the power of language to re-enchant the world around us. Based on Robert MacFarlane and Jackie Morris' bestseller.,0.0,https://image.tmdb.org/t/p/w500None,Documentary,Unknown,Hannah Papacek Harper
